county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,seg_missing_bool
Trinity,7.3422957601,2.0,13.63605,37.0,30.3,,336,11.129513084,2800,19.3,46.539367438,61.05834,40486,68.199398367,14740,51.797829037,77.236887213,2020,,,126.0,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.1365,0.206,0.093,0.8,0.97,1638.0,0
Tyler,8.8315217391,5.0,23.21371,31.0,26.4,,397,9.2627158189,4150,19.3,39.321490009,36.87316,44041,63.814904493,21696,46.105272861,78.131030047,2020,,,201.0,0.9595141700404858,0.9595141700404858,0.9757085020242916,0.9635627530364372,0.9595141700404858,0.1428,0.2169,0.0983,0.88,0.98,2712.0,0
Upshur,7.4209245742,12.0,29.06906,43.0,21.1,9.9099099099,1064,10.385553929,7270,17.9,31.22438478,12.11827,48554,59.480025365,41260,50.588948134,79.299905874,2020,,,489.0,0.9623762376237625,0.9663366336633664,0.9722772277227724,0.9683168316831684,0.9623762376237625,0.1276,0.1901,0.0861,0.59,0.88,8252.0,0
Upton,9.4488188976,2.0,54.60005,20.0,20.2,,193,17.232142857,430,12.1,30.057789124,108.96214,53867,57.341040462,3671,48.760555707,100.0,2020,,,40.0,1.0,0.972972972972973,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.65,0.96,918.0,0
Uvalde,7.1071428571,12.0,44.22822,32.0,35.0,,882,11.54752553,2430,9.0,,59.5992,39725,65.834238147,26846,50.797139239,31.384207536,2020,,,386.0,0.96875,0.9791666666666666,0.984375,0.9713541666666666,0.9713541666666666,0.107,0.1724,0.0705,0.95,0.98,1678.0,1
Val Verde,6.4690026954,14.0,28.45239,25.0,28.9,3.2976092333,1588,10.958525982,4580,9.3,59.153051434,65.03008,44276,72.558181328,49208,48.878231182,10.157736451,2020,,,732.0,0.9845722300140252,0.976157082748948,0.9915848527349228,0.9901823281907434,0.976157082748948,0.107,0.1724,0.0705,0.97,0.99,1538.0,0
Van Zandt,6.7780654272,10.0,18.12185,40.0,20.8,6.679389313,1884,14.12505623,8690,16.2,40.080845273,26.77663,51152,53.309147956,56019,51.154072725,75.018543525,2020,,,575.0,0.9428571428571428,0.9342857142857144,0.9485714285714286,0.9442857142857144,0.9357142857142856,0.1285,0.1874,0.0874,0.56,0.89,3735.0,0
Victoria,8.0605655756,72.0,78.18948,48.0,21.4,5.5011552426,2923,12.01446833,11820,12.9,32.859626713,94.52926,51646,67.742143641,92035,51.003422611,26.626571267,2020,,,1166.0,0.9789391575663028,0.9812792511700468,0.983619344773791,0.982839313572543,0.9804992199687989,0.1065,0.1663,0.0699,0.78,0.9,1058.0,0
Walker,7.9144871503,20.0,27.683580000000003,42.0,28.3,,1234,10.977671026,15950,22.5,18.26365771,49.668870000000005,43681,49.175824176,72480,41.799116998,45.582882657,2020,,,640.0,0.970948012232416,0.9617737003058104,0.9755351681957186,0.970948012232416,0.963302752293578,0.1365,0.206,0.093,0.7,0.9,2013.0,0
Waller,7.7939835916,6.0,11.69431,43.0,19.9,5.730002292,1762,13.705662726,8770,18.1,38.100103891,1.88232,59807,71.279861204,53126,50.152467718,61.641013772,2020,,,689.0,0.9779951100244498,0.9706601466992664,0.9853300733496332,0.9841075794621028,0.9682151589242054,0.1114,0.1704,0.0738,0.83,0.9,53126.0,0
