county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Crockett,8.3832335329,1.0,28.058359999999997,23.0,23.4,,133,14.074074074,380,9.9,,28.579590000000003,3499:1,49117,51.055408971,3499,50.071448985,22.748050551,2020,,,0.0,39.0,27.5,5.0,36,0.1235,0.1873,0.0822,0.69,High Vulnerability,0.9,Very High Concern,3499,1
Crosby,7.9696394687,2.0,33.90405,39.0,37.1,,206,12.653562654,750,12.7,25.530704223,51.9121,1926:1,37911,81.381118881,5779,50.562381035,100.0,2020,,,0.0,46.0,54.5,0.0,78,0.1143,0.1758,0.0766,0.94,Very High Vulnerability,0.99,Very High Concern,1926,1
Culberson,8.4112149533,,,14.0,32.7,,78,14.338235294,240,10.6,,90.7441,1102:1,42164,75.703324808,2204,50.589836661,100.0,2020,,,0.0,22.5,22.5,2.5,30,0.1166,0.1765,0.0789,1.0,Very High Vulnerability,1.0,Very High Concern,1102,1
Dallam,6.7049808429,5.0,69.36737000000001,27.0,18.1,,529,22.491496599,900,12.4,,152.77778,655:1,50587,66.017699115,7200,47.861111111,23.541697747,2020,,,0.0,110.5,119.5,7.5,186,0.1241,0.1883,0.0824,0.55,Moderate Vulnerability,0.92,Very High Concern,655,1
Dallas,8.5024997727,1818.0,69.4384,51.0,20.7,6.469842706,95584,13.459653708,438830,17.2,49.092138416,106.11227999999998,942:1,59838,71.613253358,2637772,50.648198555,0.6883041916,2020,,,0.0,21399.0,19984.0,890.0,36101,0.1078,0.1697,0.0704,0.75,High Vulnerability,0.83,Very High Concern,942,1
Dawson,9.3486590038,3.0,23.41372,23.0,29.9,,426,12.36574746,1590,12.1,28.303645402,55.47191,1803:1,43726,68.489378442,12619,45.146208099,16.294368539,2020,,,0.0,105.5,114.5,0.0,186,0.1235,0.1873,0.0822,0.95,Very High Vulnerability,1.0,Very High Concern,1803,1
DeWitt,8.5047248471,11.0,54.38544,29.0,25.2,,513,10.924190801,2930,14.3,34.082606888,64.39788,1553:1,49208,72.827041264,20187,47.481052162,49.624322038,2020,,,0.0,190.0,190.5,7.5,246,0.1134,0.1709,0.0762,0.82,Very High Vulnerability,0.97,Very High Concern,1553,1
Deaf Smith,7.7872340426,2.0,10.61797,35.0,25.3,,799,13.072643979,1650,8.7,24.945547092,106.60981,938:1,44230,79.064381658,18760,50.058635394,17.711129465,2020,,,0.0,257.0,243.0,12.5,323,0.1241,0.1883,0.0824,0.84,Very High Vulnerability,0.9,Very High Concern,938,1
Delta,6.5934065934,1.0,18.875049999999998,42.0,26.0,,158,12.30529595,1000,19.3,55.546591441,37.390170000000005,2675:1,44410,63.476347635,5349,50.252383623,100.0,2020,,,0.0,31.0,42.0,0.0,66,0.1283,0.1937,0.0866,0.57,Moderate Vulnerability,0.85,Very High Concern,2675,1
Denton,7.4274277199,530.0,63.38121,52.0,8.1,4.2800322804,19390,8.7155860209,111860,14.3,39.098873179,64.72160000000001,1545:1,88384,32.209285683,859064,50.792374026,6.9058305439,2020,,,0.0,6149.0,5576.0,158.5,9965,0.0949,0.1412,0.0617,0.22,Low Vulnerability,0.63,High Concern,1545,1
Dickens,15.942028986,1.0,45.26935,26.0,27.5,,82,18.850574713,340,15.4,,44.46421,2249:1,39627,64.985994398,2249,44.642063139,100.0,2020,,,0.0,20.0,20.0,0.0,12,0.1143,0.1758,0.0766,0.88,Very High Vulnerability,0.93,Very High Concern,2249,1
Dimmit,8.3832335329,4.0,38.39509,33.0,35.8,,278,8.8366179275,1130,10.4,,67.90842,1473:1,37177,76.97874265,10308,50.805199845,39.475790316,2020,,,0.0,37.5,36.5,2.5,155,0.107,0.1724,0.0705,1.0,Very High Vulnerability,0.99,Very High Concern,1473,1
Donley,9.3220338983,1.0,30.20236,21.0,27.8,,102,14.592274678,580,16.9,36.610617453,120.51823,830:1,40945,55.208333333,3319,50.888821934,100.0,2020,,,0.0,20.0,20.0,0.0,34,0.1241,0.1883,0.0824,0.45,Moderate Vulnerability,0.82,Very High Concern,830,1
Duval,8.7108013937,,,34.0,36.1,,265,9.0722355358,1190,10.4,,53.51409,1869:1,35156,73.712121212,11212,48.448091331,67.042946868,2020,,,0.0,86.0,99.0,0.0,114,0.1146,0.1867,0.0742,1.0,Very High Vulnerability,1.0,Very High Concern,1869,1
Eastland,7.9285714286,6.0,32.58921,40.0,26.1,,539,13.295510607,3110,17.0,25.324460201,38.20544,2617:1,44773,62.262156448,18322,50.065495033,60.345477049,2020,,,0.0,169.0,156.5,7.5,207,0.1278,0.1901,0.086,0.81,Very High Vulnerability,0.98,Very High Concern,2617,1
Ector,9.0494408476,93.0,59.202859999999994,39.0,17.9,5.7334212796,6063,12.377258344,15320,9.8,44.405288975,79.56873,1257:1,60431,49.171444954,162124,49.122276776,9.4552614308,2020,,,0.0,2508.0,2287.0,73.0,2743,0.1113,0.171,0.0731,0.79,High Vulnerability,0.88,Very High Concern,1257,1
Edwards,,0.0,0.0,30.0,37.3,,74,16.517857143,130,6.2,,0.0,1928:0,37812,71.428571429,1928,47.147302905,100.0,2020,,,0.0,27.0,22.5,2.5,18,0.107,0.1724,0.0705,0.44,Moderate Vulnerability,0.92,Very High Concern,1928,0
El Paso,8.5598896769,405.0,48.19076,32.0,28.9,4.4313780191,21020,8.8337514867,79860,9.6,45.811145406,78.02483,1282:1,43948,73.780691097,840758,50.733266885,2.1743664811,2020,,,0.0,8325.0,8638.0,536.0,11097,0.0965,0.1577,0.0608,0.95,Very High Vulnerability,0.96,Very High Concern,1282,1
Ellis,7.2184403855,70.0,40.31794,50.0,14.0,5.8301132127,5436,11.113837095,22320,13.6,38.855231083,55.17288,1812:1,76792,47.272012579,179436,50.67154863,31.975135352,2020,,,0.0,1699.0,1677.0,27.0,2381,0.1147,0.169,0.0766,0.39,Low Vulnerability,0.7,High Concern,1812,1
Erath,6.8255369226,23.0,54.80235,47.0,20.1,6.6996795805,1345,15.199457566,7250,17.7,57.179918858,42.40682,2358:1,47087,52.61574461,42446,51.034255289,46.320929005,2020,,,0.0,318.0,293.5,15.0,430,0.1134,0.1689,0.0762,0.63,High Vulnerability,0.87,Very High Concern,2358,1
Falls,9.6153846154,2.0,11.46986,34.0,27.7,,520,13.666228647,3520,20.4,41.663952769,40.38073,2476:1,37428,82.107728337,17335,52.523795789,67.356990932,2020,,,0.0,138.5,122.5,7.5,178,0.1248,0.188,0.085,0.98,Very High Vulnerability,0.99,Very High Concern,2476,1
Fannin,7.4153450493,7.0,20.32166,43.0,19.5,,1046,13.748685594,5670,16.8,32.001559303,42.50978,2352:1,53111,58.028933092,35286,46.916624157,70.529264337,2020,,,0.0,244.0,265.0,10.0,403,0.1317,0.1945,0.0881,0.58,Moderate Vulnerability,0.86,Very High Concern,2352,1
Fayette,6.5398335315,9.0,35.61254,44.0,19.4,,791,14.640014807,3250,13.0,15.158394916,47.33915,2112:1,55776,54.740141029,25349,50.861966941,67.137737232,2020,,,0.0,152.0,156.0,0.0,230,0.124,0.188,0.0827,0.44,Moderate Vulnerability,0.84,Very High Concern,2112,1
Fisher,10.0,1.0,25.7732,9.0,21.3,,141,16.49122807,560,14.5,18.142915096,104.19380000000001,960:1,45261,52.142857143,3839,50.429799427,100.0,2020,,,0.0,34.5,37.5,2.5,38,0.1278,0.1901,0.086,0.43,Moderate Vulnerability,0.91,Very High Concern,960,1
Floyd,9.5149253731,4.0,68.31768,37.0,33.3,,203,12.476951444,690,11.5,28.410323282,34.264179999999996,2919:1,39891,76.661129568,5837,49.597395923,53.319888303,2020,,,0.0,49.5,69.0,5.0,68,0.1143,0.1758,0.0766,0.83,Very High Vulnerability,0.97,Very High Concern,2919,1
Foard,,0.0,0.0,27.0,31.0,,50,19.083969466,170,11.9,,83.33333,1200:1,37648,74.88372093,1200,51.416666667,100.0,2020,,,0.0,20.0,15.0,0.0,12,0.1293,0.1898,0.087,0.48,Moderate Vulnerability,0.93,Very High Concern,1200,1
Fort Bend,8.7697102478,650.0,84.98643,46.0,10.4,4.110311453,18829,8.3750328036,98800,13.9,46.231436954,67.01715,1492:1,92310,33.722314837,787858,50.930370701,5.5357676703,2020,,,0.0,7625.0,7767.0,283.5,8816,0.0795,0.1228,0.0524,0.29,Low Vulnerability,0.54,Moderate Concern,1492,1
